season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2020,12,Rob,Shakin Bacon,87.4,10,3-8-0,Win,4-8-0,Aaron,Ryan Leaf's Ghost,67.7,12,2-9-0,2-10-0
2020,13,Rob,Shakin Bacon,98.8,6,4-8-0,Win,5-8-0,AJ,Kamala-ver Muhfingas,93.84,10,3-9-0,3-10-0
2020,13,Alex,FERDA PUPPERS,103.8,5,8-4-0,Loss,8-5-0,Matthew,Turf Muncher,107.52,3,7-5-0,8-5-0
2020,13,dan,Tarin Holez,97.55,7,6-6-0,Win,7-6-0,Aaron,Ryan Leaf's Ghost,79.2,12,2-10-0,2-11-0
2020,13,Mike,Mr Pig Skinner,115.2,2,7-5-0,Win,8-5-0,Brian,DaHazzelhoffs,94.22,9,6-6-0,6-7-0
2020,13,Colin,Im a scientist,86.66,11,9-3-0,Loss,9-4-0,Kameron,Drunken Monkeys,94.7,8,8-4-0,9-4-0
2020,13,Sam,Highly Questionable,104.28,4,6-6-0,Loss,6-7-0,Mike,COVIC-TORY,127.06,1,6-6-0,7-6-0
2020,13,AJ,Kamala-ver Muhfingas,93.84,10,3-9-0,Loss,3-10-0,Rob,Shakin Bacon,98.8,6,4-8-0,5-8-0
2020,13,Matthew,Turf Muncher,107.52,3,7-5-0,Win,8-5-0,Alex,FERDA PUPPERS,103.8,5,8-4-0,8-5-0
2020,13,Aaron,Ryan Leaf's Ghost,79.2,12,2-10-0,Loss,2-11-0,dan,Tarin Holez,97.55,7,6-6-0,7-6-0
2020,13,Brian,DaHazzelhoffs,94.22,9,6-6-0,Loss,6-7-0,Mike,Mr Pig Skinner,115.2,2,7-5-0,8-5-0
2020,13,Kameron,Drunken Monkeys,94.7,8,8-4-0,Win,9-4-0,Colin,Im a scientist,86.66,11,9-3-0,9-4-0
2020,13,Mike,COVIC-TORY,127.06,1,6-6-0,Win,7-6-0,Sam,Highly Questionable,104.28,4,6-6-0,6-7-0
2020,14,Rob,Shakin Bacon,88.16,7,5-8-0,Loss,5-8-0,AJ,Kamala-ver Muhfingas,95.76,4,3-10-0,3-10-0
2020,14,Sam,Highly Questionable,114.34,3,6-7-0,Win,6-7-0,Aaron,Ryan Leaf's Ghost,40.94,8,2-11-0,2-11-0
2020,14,Alex,FERDA PUPPERS,148.96,1,8-5-0,Win,8-5-0,Mike,Mr Pig Skinner,92.2,6,8-5-0,8-5-0
2020,14,Matthew,Turf Muncher,137.32,2,8-5-0,Win,8-5-0,Mike,COVIC-TORY,95.28,5,7-6-0,7-6-0
2020,14,AJ,Kamala-ver Muhfingas,95.76,4,3-10-0,Win,3-10-0,Rob,Shakin Bacon,88.16,7,5-8-0,5-8-0
2020,14,Aaron,Ryan Leaf's Ghost,40.94,8,2-11-0,Loss,2-11-0,Sam,Highly Questionable,114.34,3,6-7-0,6-7-0
2020,14,Mike,Mr Pig Skinner,92.2,6,8-5-0,Loss,8-5-0,Alex,FERDA PUPPERS,148.96,1,8-5-0,8-5-0
2020,14,Mike,COVIC-TORY,95.28,5,7-6-0,Loss,7-6-0,Matthew,Turf Muncher,137.32,2,8-5-0,8-5-0
2020,15,dan,Tarin Holez,82.41,8,7-6-0,Loss,7-6-0,AJ,Kamala-ver Muhfingas,83.52,7,3-10-0,3-10-0
2020,15,Sam,Highly Questionable,87.6,6,6-7-0,Loss,6-7-0,Brian,DaHazzelhoffs,93.34,5,6-7-0,6-7-0
2020,15,Colin,Im a scientist,108.96,4,9-4-0,Loss,9-4-0,Alex,FERDA PUPPERS,125.56,2,8-5-0,8-5-0
2020,15,Matthew,Turf Muncher,113.06,3,8-5-0,Loss,8-5-0,Kameron,Drunken Monkeys,134.22,1,9-4-0,9-4-0
2020,15,AJ,Kamala-ver Muhfingas,83.52,7,3-10-0,Win,3-10-0,dan,Tarin Holez,82.41,8,7-6-0,7-6-0
2020,15,Brian,DaHazzelhoffs,93.34,5,6-7-0,Win,6-7-0,Sam,Highly Questionable,87.6,6,6-7-0,6-7-0
2020,15,Alex,FERDA PUPPERS,125.56,2,8-5-0,Win,8-5-0,Colin,Im a scientist,108.96,4,9-4-0,9-4-0
2020,15,Kameron,Drunken Monkeys,134.22,1,9-4-0,Win,9-4-0,Matthew,Turf Muncher,113.06,3,8-5-0,8-5-0
2020,16,AJ,Kamala-ver Muhfingas,107.66,7,3-10-0,Loss,3-10-0,Brian,DaHazzelhoffs,118.08,3,6-7-0,6-7-0
2020,16,dan,Tarin Holez,99.8,9,7-6-0,Win,7-6-0,Sam,Highly Questionable,76.42,11,6-7-0,6-7-0
2020,16,Rob,Shakin Bacon,109.73,6,5-8-0,Win,5-8-0,Aaron,Ryan Leaf's Ghost,76.32,12,2-11-0,2-11-0
2020,16,Alex,FERDA PUPPERS,114.8,5,8-5-0,Loss,8-5-0,Kameron,Drunken Monkeys,174.24,1,9-4-0,9-4-0
2020,16,Colin,Im a scientist,147.92,2,9-4-0,Win,9-4-0,Matthew,Turf Muncher,104.12,8,8-5-0,8-5-0
2020,16,Mike,Mr Pig Skinner,79.14,10,8-5-0,Loss,8-5-0,Mike,COVIC-TORY,115.14,4,7-6-0,7-6-0
2020,16,Brian,DaHazzelhoffs,118.08,3,6-7-0,Win,6-7-0,AJ,Kamala-ver Muhfingas,107.66,7,3-10-0,3-10-0
2020,16,Sam,Highly Questionable,76.42,11,6-7-0,Loss,6-7-0,dan,Tarin Holez,99.8,9,7-6-0,7-6-0
2020,16,Aaron,Ryan Leaf's Ghost,76.32,12,2-11-0,Loss,2-11-0,Rob,Shakin Bacon,109.73,6,5-8-0,5-8-0
2020,16,Kameron,Drunken Monkeys,174.24,1,9-4-0,Win,9-4-0,Alex,FERDA PUPPERS,114.8,5,8-5-0,8-5-0
2020,16,Matthew,Turf Muncher,104.12,8,8-5-0,Loss,8-5-0,Colin,Im a scientist,147.92,2,9-4-0,9-4-0
2020,16,Mike,COVIC-TORY,115.14,4,7-6-0,Win,7-6-0,Mike,Mr Pig Skinner,79.14,10,8-5-0,8-5-0
